model	U	eb1_1	eb2_1	mu	t	tb1_1	tb2_1	ave_U_1	ave_eb1_1	ave_eb2_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	var_U_1	var_eb1_1	var_eb2_1	var_mu_1	var_t_1	var_tb1_1	var_tb2_1	E0_1	sector_1	githash	distance	diff_param	diff_hybrid	time
1D_2_4b	4	1.6154766	-0.99014569	1.74	1	0.66476721	0.65202101	0.10566902	0.1008164	3.8965346	1.0013245	-0.67377665	-0.85580638	-0.86472705	0.04231374	0.095583452	0.097851236	0.039572163	0.41547941	1.7692508	1.7559423	-8.814813	R0:N6:S0:1	e569cda	 7.88e-04	 2.38e-05	 1.62e-06	2022-03-21@18:29
1D_2_4b	4	1.6154294	-0.99014301	1.74	1	0.66476238	0.6520197	0.10566888	0.1008184	3.896534	1.0013238	-0.67377621	-0.85581345	-0.86472903	0.042313697	0.095585236	0.09785181	0.039572459	0.41547875	1.7692459	1.7559442	-8.814802	R0:N6:S0:1	e569cda	 7.88e-04	 6.03e-07	 4.80e-07	2022-03-21@18:29
1D_2_4b	4	1.634869	-0.96143957	1.72	1	0.66441741	0.65051243	0.10572385	0.10085288	3.8963186	1.0014142	-0.67373642	-0.85589068	-0.86537585	0.042331093	0.095621986	0.098041536	0.039590272	0.41543228	1.7696437	1.7554151	-8.6593471	R0:N6:S0:1	e569cda	 8.64e-04	 1.91e-05	 1.00e+06	2022-03-21@18:29
1D_2_4b	4	1.634873	-0.96140362	1.72	1	0.66441528	0.65050025	0.10572354	0.10085184	3.8963196	1.0014143	-0.67373679	-0.85588645	-0.86537099	0.042330989	0.095621069	0.098040631	0.039589876	0.41543307	1.7696466	1.7554172	-8.6591943	R0:N6:S0:1	e569cda	 8.64e-04	 0.00e+00	 1.04e-06	2022-03-21@18:29
1D_2_4b	4	1.6538222	-0.93218691	1.7	1	0.66398534	0.64885657	0.10577705	0.10090007	3.8960968	1.0015016	-0.67369375	-0.85600555	-0.86602784	0.042347896	0.095670435	0.09823707	0.039608454	0.41538394	1.7700315	1.7549016	-8.5015991	R0:N6:S0:1	e569cda	 9.53e-04	 1.63e-05	 1.00e+06	2022-03-21@18:29
1D_2_4b	4	1.653837	-0.93216017	1.7	1	0.66398726	0.64884552	0.10577666	0.1008992	3.896098	1.0015014	-0.67369413	-0.85600239	-0.8660221	0.042347767	0.095669671	0.098235919	0.039608089	0.41538469	1.7700331	1.7549045	-8.5014855	R0:N6:S0:1	e569cda	 9.53e-04	 4.48e-07	 1.03e-06	2022-03-21@18:29
1D_2_4b	4	1.6723219	-0.90241367	1.68	1	0.66347848	0.64705333	0.10582805	0.10096054	3.8958696	1.0015849	-0.6736483	-0.85616115	-0.86668047	0.042363973	0.095731098	0.0984374	0.039626989	0.41533382	1.7704056	1.7544076	-8.341678	R0:N6:S0:1	e569cda	 1.06e-03	 1.31e-05	 1.00e+06	2022-03-21@18:29
1D_2_4b	4	1.672329	-0.90239135	1.68	1	0.66347498	0.64704229	0.10582754	0.10095865	3.8958715	1.0015849	-0.67364896	-0.85615361	-0.86667228	0.042363802	0.095729407	0.098435658	0.039626351	0.41533513	1.7704096	1.7544114	-8.3415777	R0:N6:S0:1	e569cda	 1.06e-03	 3.18e-07	 1.05e-06	2022-03-21@18:29
1D_2_4b	4	1.6903484	-0.87209651	1.66	1	0.66287913	0.6450909	0.10587627	0.1010307	3.8956394	1.0016649	-0.67360112	-0.85634189	-0.86732317	0.042379123	0.095800778	0.098640391	0.039644763	0.41528417	1.7707759	1.7539371	-8.1794695	R0:N6:S0:1	e569cda	 1.18e-03	 3.44e-05	 1.00e+06	2022-03-21@18:29
1D_2_4b	4	1.6903386	-0.87203207	1.66	1	0.66287512	0.6450693	0.10587571	0.10103001	3.8956407	1.0016646	-0.67360149	-0.85633871	-0.86731625	0.042378936	0.095800187	0.098639229	0.039644273	0.41528511	1.7707782	1.7539413	-8.1791973	R0:N6:S0:1	e569cda	 1.18e-03	 3.91e-07	 1.93e-06	2022-03-21@18:29
1D_2_4b	4	1.7078648	-0.84108246	1.64	1	0.66218697	0.64292566	0.10592112	0.1011134	3.8954055	1.0017406	-0.67355168	-0.85655767	-0.86795367	0.042393151	0.095882143	0.098846744	0.039661802	0.41523473	1.7711396	1.7534947	-8.0143437	R0:N6:S0:1	e569cda	 1.33e-03	 1.48e-04	 1.00e+06	2022-03-21@18:29
1D_2_4b	4	1.7075822	-0.8410063	1.64	1	0.6621479	0.64289768	0.10591976	0.10112251	3.8954037	1.0017369	-0.67354994	-0.85658785	-0.86795633	0.042392722	0.095890297	0.09884848	0.039662636	0.41523264	1.7711185	1.7535092	-8.0140178	R0:N6:S0:1	e569cda	 1.33e-03	 1.79e-06	 3.27e-06	2022-03-21@18:29
1D_2_4b	4	1.707581	-0.84100702	1.64	1	0.66215112	0.642897	0.10591969	0.10112338	3.8954036	1.0017365	-0.67354977	-0.85659143	-0.86795663	0.042392699	0.095891078	0.098848578	0.039662787	0.41523233	1.7711159	1.75351	-8.0140229	R0:N6:S0:1	e569cda	 1.33e-03	 0.00e+00	 3.56e-07	2022-03-21@18:29
1D_2_4b	4	1.7240572	-0.80931615	1.62	1	0.66130354	0.64052676	0.10595964	0.10123949	3.8951592	1.0018006	-0.67349353	-0.85691388	-0.86859634	0.042405149	0.09600276	0.099064635	0.039682033	0.41517645	1.7714233	1.7531162	-7.846056	R0:N6:S0:1	e569cda	 1.51e-03	 2.33e-05	 1.00e+06	2022-03-21@18:29
1D_2_4b	4	1.7240558	-0.80927519	1.62	1	0.66130002	0.64050499	0.10595853	0.10123766	3.8951626	1.0017999	-0.67349444	-0.85690656	-0.8685819	0.042404785	0.096001136	0.099061645	0.03968112	0.4151783	1.7714258	1.7531249	-7.8458747	R0:N6:S0:1	e569cda	 1.51e-03	 9.41e-07	 2.11e-06	2022-03-21@18:29
1D_2_4b	4	1.7397625	-0.77683867	1.6	1	0.66032226	0.63788739	0.10599168	0.10137297	3.8949187	1.0018542	-0.67343573	-0.8572838	-0.86918616	0.042415007	0.096130498	0.099277434	0.039698963	0.41512366	1.7717074	1.7527907	-7.6747564	R0:N6:S0:1	e569cda	 1.73e-03	 3.90e-05	 1.00e+06	2022-03-21@18:29
1D_2_4b	4	1.7397618	-0.77676729	1.6	1	0.6603152	0.63785652	0.10599041	0.10137008	3.8949226	1.0018537	-0.67343694	-0.85727208	-0.86916855	0.042414587	0.096127946	0.099273884	0.039697717	0.41512617	1.7717132	1.7528003	-7.6744456	R0:N6:S0:1	e569cda	 1.73e-03	 9.08e-07	 2.94e-06	2022-03-21@18:29
1D_2_4b	4	1.7546989	-0.74348305	1.58	1	0.65919616	0.63495167	0.10601534	0.10152116	3.8946831	1.0018979	-0.67337711	-0.85768897	-0.86971762	0.042422113	0.096272002	0.099485882	0.039712584	0.41507589	1.7719792	1.7525362	-7.4997346	R0:N6:S0:1	e569cda	 1.99e-03	 1.05e-04	 1.00e+06	2022-03-21@18:29
1D_2_4b	4	1.7545278	-0.74337519	1.58	1	0.65916745	0.6349062	0.10601325	0.10152435	3.8946858	1.0018949	-0.67337714	-0.85769771	-0.86970238	0.042421435	0.096274892	0.099483561	0.03971196	0.41507691	1.7719707	1.7525548	-7.4992677	R0:N6:S0:1	e569cda	 1.99e-03	 1.29e-06	 4.41e-06	2022-03-21@18:29
1D_2_4b	4	1.7545276	-0.74337583	1.58	1	0.65916803	0.63490378	0.106013	0.10152427	3.8946864	1.0018946	-0.67337727	-0.85769747	-0.86969964	0.042421356	0.096274816	0.099482953	0.039711841	0.41507716	1.7719701	1.7525569	-7.4992686	R0:N6:S0:1	e569cda	 1.99e-03	 3.92e-07	 3.93e-07	2022-03-21@18:29
1D_2_4b	4	1.7683525	-0.70910082	1.56	1	0.65785923	0.63164836	0.10602645	0.10170144	3.8944527	1.0019229	-0.67331505	-0.85818615	-0.87017849	0.042425136	0.096442893	0.099690062	0.039723662	0.41503085	1.7721966	1.7523936	-7.3203461	R0:N6:S0:1	e569cda	 2.33e-03	 1.19e-04	 1.00e+06	2022-03-21@18:29
